Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/11/13 12:41:26,-,20,-,-,-,-,"Points, Balance Earned",スターバックス カード　オンライン入金,PayPay Point,-,-,04843517770579050507
2025/11/13 12:41:21,"1,000",-,-,-,-,-,Payment,スターバックス カード　オンライン入金,Credit Mastercard 5298,-,-,04843517770579050507
2025/11/13 12:07:27,"1,200",-,-,-,-,-,Payment,陳麻婆豆腐　新宿野村ビル店／ＮＦＣ,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025111312072700524834
2025/11/13 01:59:35,153,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04843187015147741184
2025/11/13 01:04:12,468,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04843158462204919811
2025/11/12 23:08:15,-,600,-,-,-,-,"Points, Balance Earned",東武鉄道定期券（モバイル）,PayPay Point,-,-,PPCD_A_2025110606432500503415
2025/11/12 23:08:04,-,40,-,-,-,-,"Points, Balance Earned",モバイルＰＡＳＭＯチャージ,PayPay Point,-,-,PPCD_A_2025110709460300133521
2025/11/12 22:50:42,-,236,-,-,-,-,"Points, Balance Earned",ジヤパンミートコシガヤテン,PayPay Point,-,-,PPCD_A_2025110809493400886948
2025/11/12 14:04:27,-,12,-,-,-,-,"Points, Balance Earned",日本郵便,PayPay Point,-,-,04842818438234087424
2025/11/12 14:04:27,665,-,-,-,-,-,Payment,日本郵便,Credit Mastercard 5298,-,-,04842818438234087424
2025/11/12 13:53:27,-,8,-,-,-,-,"Points, Balance Earned",日本郵便,PayPay Point,-,-,04842812760287182852
2025/11/12 13:53:26,430,-,-,-,-,-,Payment,日本郵便,Credit Mastercard 5298,-,-,04842812760287182852
2025/11/12 13:05:51,"3,144",-,-,-,-,-,Payment,ラクテンモバイルツウシンリョウ,PayPay Card Gold Mastercard 1473,One-time Payment,Family Use,PPCD_A_2025111213055100175746
2025/11/12 11:53:44,-,20,-,-,-,-,"Points, Balance Earned",ロイヤルフードサービス,PayPay Point,-,-,04842751067377393670
2025/11/12 11:53:44,"1,023",-,-,-,-,-,Payment,ロイヤルフードサービス - ロイヤルホスト新宿三井ビル店,Credit Mastercard 5298,-,-,04842751067377393670
2025/11/12 09:53:23,90,-,-,-,-,-,Payment,自動販売機 QRde決済 - コカ・コーラボトラーズジャパン自販機,Credit Mastercard 5298,-,-,04842689039459647492
